separator       分隔符
kernel          核心
core            核心
dump            转储
vendor          供应商
supplier        供应商
dispatcher      调度程序,分配器,调度器,调度员
dispatch        调度,分发,分派,配送,派遣
console         控制台
bootstrap       引导程序
deprecated      弃用
stack           栈
heap            堆
trace           追踪
numeric         数值
regular         正常
normalized      规范化的,标准化的
split           分离
remote          远程,远端
strip           剥离,剥去
trail           尾部的
slash           斜杠
backslash       反斜杠
trailing slash  尾斜杠
legacy          遗产
multi前缀       多个的
multibyte       多字节
scalar          标量
scalar value    标量值,如a=3,相对应的是分级的值，比如数组
classic         典型的,经典的,传统的
criteria        标准
standard        标准
ultra前缀       极端的
closure         关闭,闭包
concrete        具体的
provider        提供者
facade          门面
chunk           大块，数据块,语块
eloquent        意味深长的,有说服力的
ident           识别,鉴别
identify        识别
identifier      身份标识
illuminate      照明
foundation      基础
scope           作用域
